York,New York (City),95I OVER HUDSON RIVER,BUS TURNAROUND 95IX,2W - Port Authority of NY,1962,09/17/2015,FO,4.55
"",,,,and NJ,,,,
York,New York (City),IN S END OF CENTRAL PARK,CENTRAL DRIVE PED OPP 63RD ST,42 - City,1860,01/13/2016,N,4.87
York,New York (City),IN CENTRAL PARK,CENTRAL DRIVE TRANSV RD NO 1,42 - City,1920,01/29/2016,SD,4.33
York,New York (City),AT FORT TRYON PARK,CORBIN DRIVE OVPS M.CORBIN DRIVE,42 - City,1900,01/20/2016,FO,5.13
York,New York (City),IN WEST MANHATTAN,DYER AVENUE 495 IX (SOUTHBOUND),2W - Port Authority of NY,1954,07/10/2017,FO,5.05
"",,,,and NJ,,,,
York,New York (City),IN WEST MANHATTAN,DYER AVENUE 495IX,2W - Port Authority of NY,1956,07/10/2017,FO,5.36
"",,,,and NJ,,,,
York,New York (City),WILLIAMSBURG BR EAST RVR,Delancey Street FDR DRIVE,42 - City,1903,10/20/2016,FO,5.21
York,New York (City),NORTH OF QUEENSBORO BR,E.60thST toFDR NB 907L907LX4M12062,42 - City,1941,08/12/2016,SD,5.13
York,New York (City),OVER HARLEM RV NR HIGH BR,EAST 155TH STREET 87I 87IX1M11022,NYSDOT,1895,12/18/2015,FO,3.93
York,New York (City),MIDTOWN MANHATTAN,EAST 34TH STREET PARK AVE(TUNNEL),42 - City,1919,08/24/2016,SD,4.70
York,New York (City),IN MANHATTAN,EAST 97TH STREET METRO NO COMMUTER,42 - City,1873,11/29/2016,FO,6.02
York,New York (City),95I OVER HUDSON RIVER,EAST BUS RAMP I 95 EASTBOUND UL,2W - Port Authority of NY,1962,08/02/2017,FO,4.11
"",,,,and NJ,,,,
York,New York (City),SE END OF CENTRAL PARK,EAST DRIVE 65TH ST TRANSVERS,42 - City,1905,04/11/2016,FO,4.31
York,New York (City),IN CENTRAL PARK,EAST DRIVE 79TH ST TRANSVERS,42 - City,1920,03/31/2016,FO,4.50
York,New York (City),IN CENTRAL PARK,EAST DRIVE 97TH ST TRANSVERS,42 - City,1920,04/13/2016,FO,3.69
York,New York (City),CENTER OF CENTRAL PARK,EAST DRIVE PED WALK OPP 73ST,42 - City,1900,01/19/2016,FO,5.06
